Image_ID,Product_ID,Image_Path,Category,Image_Width,Image_Height,Split,Label
IMG00001,P00356,images/P00356/img83.jpg,Home,320,360,Test,Plus Table Lamp (Beige)
IMG00002,P00681,images/P00681/img98.jpg,Home,1024,360,Validation,Max Curtain (Green)
IMG00003,P00470,images/P00470/img90.jpg,Footwear,1024,768,Train,Pro Loafers (Silver)
IMG00004,P00207,images/P00207/img10.jpg,Stationery,320,640,Train,Lite Highlighter Set (Black)
IMG00005,P00586,images/P00586/img11.jpg,Footwear,640,768,Validation,Standard Flip Flops (Blue)
IMG00006,P00425,images/P00425/img36.jpg,Electronics,480,640,Train,Plus Smart Watch (White)
IMG00007,P00005,images/P00005/img01.jpg,Stationery,1024,360,Train,Compact Marker Pack (Beige)
IMG00008,P00772,images/P00772/img13.jpg,Footwear,1024,768,Validation,Standard Sandals (Silver)
IMG00009,P00063,images/P00063/img54.jpg,Home,1024,768,Train,Premium Door Mat (Red)
IMG00010,P00152,images/P00152/img97.jpg,Footwear,1024,360,Train,Plus Slippers (Green)
IMG00011,P00058,images/P00058/img11.jpg,Stationery,320,640,Train,Mini Highlighter Set (Beige)
IMG00012,P00523,images/P00523/img03.jpg,Footwear,320,640,Validation,Deluxe Running Shoes (White)
IMG00013,P00036,images/P00036/img60.jpg,Accessories,480,360,Validation,Deluxe Travel Pouch (Red)
IMG00014,P00108,images/P00108/img74.jpg,Stationery,720,480,Train,Plus File Folder (Green)
IMG00015,P00466,images/P00466/img63.jpg,Accessories,480,240,Validation,Deluxe Travel Pouch (Green)
IMG00016,P00570,images/P00570/img80.jpg,Stationery,320,640,Train,Pro Scissors (White)
IMG00017,P00359,images/P00359/img83.jpg,Footwear,320,480,Train,Premium Hiking Boots (Green)
IMG00018,P00371,images/P00371/img48.jpg,Home,480,480,Train,Lite Wall Clock (Black)
IMG00019,P00052,images/P00052/img20.jpg,Stationery,720,640,Train,Premium Desk Organizer (Red)
IMG00020,P00422,images/P00422/img09.jpg,Stationery,720,360,Validation,Max Desk Organizer (Blue)
IMG00021,P00456,images/P00456/img41.jpg,Electronics,480,768,Test,Mini Wireless Mouse (Silver)
IMG00022,P00339,images/P00339/img34.jpg,Electronics,480,240,Train,Classic Bluetooth Speaker (White)
IMG00023,P00097,images/P00097/img10.jpg,Stationery,1024,640,Test,Max Sticky Notes (Blue)
IMG00024,P00530,images/P00530/img15.jpg,Stationery,640,360,Train,Lite Scissors (Silver)
IMG00025,P00520,images/P00520/img48.jpg,Accessories,1024,360,Test,Deluxe Keychain (Red)
IMG00026,P00248,images/P00248/img07.jpg,Home,320,480,Train,Premium Storage Box (Black)
IMG00027,P00621,images/P00621/img19.jpg,Electronics,480,768,Train,Max Router (Blue)
IMG00028,P00423,images/P00423/img71.jpg,Accessories,1024,640,Train,Classic Watch Strap (Green)
IMG00029,P00645,images/P00645/img14.jpg,Footwear,720,640,Train,Deluxe Sneakers (Silver)
IMG00030,P00120,images/P00120/img69.jpg,Home,640,640,Train,Premium Door Mat (Red)
IMG00031,P00764,images/P00764/img07.jpg,Stationery,320,240,Test,Compact Marker Pack (Silver)
IMG00032,P00161,images/P00161/img08.jpg,Accessories,720,360,Validation,Deluxe Wallet (Black)
IMG00033,P00565,images/P00565/img90.jpg,Accessories,720,640,Train,Deluxe Handbag (Red)
IMG00034,P00368,images/P00368/img86.jpg,Home,720,240,Test,Deluxe Door Mat (Silver)
IMG00035,P00345,images/P00345/img43.jpg,Home,720,360,Test,Premium Curtain (Beige)
IMG00036,P00044,images/P00044/img25.jpg,Footwear,640,240,Train,Max Flip Flops (Grey)
IMG00037,P00560,images/P00560/img54.jpg,Home,640,240,Validation,Premium Cushion (Grey)
IMG00038,P00394,images/P00394/img64.jpg,Footwear,480,640,Train,Lite Formal Shoes (White)
IMG00039,P00497,images/P00497/img22.jpg,Home,640,768,Train,Premium Wall Clock (Black)
IMG00040,P00408,images/P00408/img25.jpg,Home,640,768,Train,Mini Bed Sheet Set (Beige)
