Order_ID,Product_ID,Product_Name,Category,Required_Quantity,Order_Priority,Order_Date,Requested_By,Order_Status
ORD00001,P00270,Pro Door Mat (Red),Home,3,Medium,2026-07-11 13:25,Customer-18204,Picked
ORD00002,P00374,Pro Cap (White),Accessories,7,Low,2026-07-28 19:03,Customer-13552,Pending
ORD00003,P00689,Premium Curtain (Beige),Home,8,Urgent,2026-07-19 13:24,Customer-17699,Picked
ORD00004,P00095,Plus Backpack (Red),Accessories,1,Low,2026-08-22 04:32,Customer-16591,Cancelled
ORD00005,P00329,Plus Keyboard (Beige),Electronics,6,Urgent,2026-07-29 05:47,Customer-18892,Picked
ORD00006,P00488,Deluxe Loafers (Blue),Footwear,4,Medium,2026-07-01 10:44,Customer-10121,Pending
ORD00007,P00666,Deluxe Pen Set (Green),Stationery,8,Low,2026-07-09 06:16,Customer-11463,Shipped
ORD00008,P00030,Deluxe Candle Holder (Silver),Home,2,High,2026-08-05 05:18,Customer-10602,Pending
ORD00009,P00107,Classic Stapler (White),Stationery,8,High,2026-07-12 10:38,Customer-18720,Picking
ORD00010,P00093,Compact Keychain (Blue),Accessories,2,Low,2026-08-30 11:59,Customer-12659,Pending
ORD00011,P00251,Classic Highlighter Set (Blue),Stationery,8,Low,2026-07-29 22:27,Customer-15859,Shipped
ORD00012,P00266,Premium HDMI Cable (Grey),Electronics,1,Urgent,2026-07-02 02:41,Customer-19334,Pending
ORD00013,P00682,Standard Wall Clock (Green),Home,6,Medium,2026-08-29 03:51,Customer-12127,Shipped
ORD00014,P00741,Deluxe Stapler (Blue),Stationery,8,High,2026-07-06 05:03,Customer-14766,Pending
ORD00015,P00126,Deluxe Candle Holder (Red),Home,5,High,2026-08-08 08:00,Customer-14443,Picking
ORD00016,P00311,Premium Laptop Stand (Green),Electronics,2,Urgent,2026-08-30 03:31,Customer-14152,Shipped
ORD00017,P00325,Mini Handbag (Silver),Accessories,7,Low,2026-07-27 13:06,Customer-12367,Picked
ORD00018,P00771,Premium Sticky Notes (Green),Stationery,3,High,2026-08-18 01:48,Customer-13749,Pending
ORD00019,P00660,Mini Sports Shoes (Beige),Footwear,5,High,2026-08-08 17:21,Customer-11200,Pending
ORD00020,P00433,Premium Charger (Black),Electronics,5,Low,2026-08-16 12:45,Customer-10898,Picking
