Location_ID,Zone,Aisle,Rack_ID,Shelf_ID,Bin_ID,Capacity_Units
LOC00001,A,AISLE-01,RACK-09,SHELF-05,BIN-00001,150
LOC00002,A,AISLE-02,RACK-16,SHELF-04,BIN-00002,300
LOC00003,A,AISLE-03,RACK-02,SHELF-04,BIN-00003,175
LOC00004,A,AISLE-04,RACK-12,SHELF-02,BIN-00004,250
LOC00005,A,AISLE-05,RACK-04,SHELF-05,BIN-00005,150
LOC00006,A,AISLE-06,RACK-08,SHELF-05,BIN-00006,100
LOC00007,A,AISLE-07,RACK-02,SHELF-01,BIN-00007,200
LOC00008,A,AISLE-08,RACK-02,SHELF-04,BIN-00008,300
LOC00009,A,AISLE-09,RACK-13,SHELF-02,BIN-00009,175
LOC00010,A,AISLE-10,RACK-02,SHELF-05,BIN-00010,350
LOC00011,A,AISLE-11,RACK-08,SHELF-03,BIN-00011,200
LOC00012,A,AISLE-12,RACK-14,SHELF-03,BIN-00012,250
LOC00013,A,AISLE-13,RACK-03,SHELF-05,BIN-00013,300
LOC00014,A,AISLE-14,RACK-04,SHELF-05,BIN-00014,100
LOC00015,A,AISLE-15,RACK-06,SHELF-02,BIN-00015,100
LOC00016,A,AISLE-16,RACK-13,SHELF-01,BIN-00016,400
LOC00017,A,AISLE-17,RACK-10,SHELF-03,BIN-00017,300
LOC00018,A,AISLE-18,RACK-03,SHELF-05,BIN-00018,400
LOC00019,A,AISLE-19,RACK-01,SHELF-03,BIN-00019,200
LOC00020,A,AISLE-20,RACK-10,SHELF-05,BIN-00020,250
LOC00021,A,AISLE-21,RACK-20,SHELF-02,BIN-00021,400
LOC00022,A,AISLE-22,RACK-12,SHELF-05,BIN-00022,400
LOC00023,A,AISLE-23,RACK-07,SHELF-05,BIN-00023,200
LOC00024,A,AISLE-24,RACK-05,SHELF-01,BIN-00024,350
LOC00025,A,AISLE-25,RACK-01,SHELF-02,BIN-00025,300
LOC00026,A,AISLE-26,RACK-01,SHELF-03,BIN-00026,100
LOC00027,A,AISLE-27,RACK-13,SHELF-03,BIN-00027,150
LOC00028,A,AISLE-28,RACK-07,SHELF-05,BIN-00028,200
LOC00029,A,AISLE-29,RACK-14,SHELF-04,BIN-00029,100
LOC00030,A,AISLE-30,RACK-05,SHELF-03,BIN-00030,150
LOC00031,A,AISLE-31,RACK-02,SHELF-02,BIN-00031,350
LOC00032,A,AISLE-32,RACK-12,SHELF-04,BIN-00032,150
LOC00033,A,AISLE-33,RACK-19,SHELF-01,BIN-00033,175
LOC00034,A,AISLE-34,RACK-13,SHELF-01,BIN-00034,100
LOC00035,A,AISLE-35,RACK-14,SHELF-02,BIN-00035,200
LOC00036,A,AISLE-36,RACK-10,SHELF-03,BIN-00036,300
LOC00037,A,AISLE-37,RACK-13,SHELF-03,BIN-00037,300
LOC00038,A,AISLE-38,RACK-15,SHELF-03,BIN-00038,200
LOC00039,A,AISLE-39,RACK-03,SHELF-02,BIN-00039,175
LOC00040,A,AISLE-40,RACK-19,SHELF-01,BIN-00040,175
LOC00041,A,AISLE-01,RACK-04,SHELF-02,BIN-00041,400
LOC00042,A,AISLE-02,RACK-15,SHELF-03,BIN-00042,350
LOC00043,A,AISLE-03,RACK-04,SHELF-05,BIN-00043,300
LOC00044,A,AISLE-04,RACK-07,SHELF-04,BIN-00044,250
LOC00045,A,AISLE-05,RACK-15,SHELF-03,BIN-00045,150
LOC00046,A,AISLE-06,RACK-03,SHELF-02,BIN-00046,250
LOC00047,A,AISLE-07,RACK-20,SHELF-01,BIN-00047,200
LOC00048,A,AISLE-08,RACK-11,SHELF-02,BIN-00048,150
LOC00049,A,AISLE-09,RACK-08,SHELF-03,BIN-00049,350
LOC00050,A,AISLE-10,RACK-17,SHELF-01,BIN-00050,250
